tag	module	module_label	model	model_label	sub_model	sub_model_label	key_workflow	feature	detail	fields_ready
Base Odoo	hr_appraisal	Appraisals	res.users	User	auth_totp.device ; hr.employee ; hr.employee.skill ; hr.resume.line ; library.borrowing ; library.reservation ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; res.device ; res.partner ; res.partner.bank ; res.users ; res.users.apikeys ; res.users.log ; res.users.settings ; resource.resource	Authentication Device ; Employee ; Skill level for an employee ; Resume line of an employee ; library.borrowing ; library.reservation ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Devices ; Contact ; Bank Accounts ; User ; Users API Keys ; Users Log ; User Settings ; Resources	state: new, active | actions: action_open_employees	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), department_id(Many2one), employee_id(Many2one), login(Char), name(Char), notification_type(Selection), partner_id(Many2one), state(Selection)
Base Odoo	hr_appraisal_contract	Appraisal Contract	hr.employee	Employee	hr.appraisal ; hr.attendance ; hr.attendance.overtime ; hr.candidate ; hr.contract ; hr.employee ; hr.employee.skill ; hr.payslip ; hr.resume.line ; hr.vn.asset ; hr.vn.decision ; hr.vn.dependent ; hr.vn.si.record ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; sht.hr.employee.document ; sht.hr.health.record ; sht.hr.rd ; sht.hr.training	Employee Appraisal ; Attendance ; Attendance Overtime ; Candidate ; Employee Contract ; Employee ; Skill level for an employee ; Pay Slip ; Resume line of an employee ; Tài sản ; Quyết định nhân sự ; Người phụ thuộc ; Hồ sơ bảo hiểm xã hội ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Employee Document ; Hồ sơ khám sức khoẻ nhân viên ; Reward & Discipline Record ; Employee Training Record	actions: action_open_assets, action_open_contract, action_open_decisions, action_open_discipline_records, action_open_employee_documents, action_open_goals, action_open_health_records, action_open_last_appraisal, action_open_last_month_attendances, action_open_last_month_overtime	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal_contract	company_id(Many2one), contract_id(Many2one), department_id(Many2one), distance_home_work_unit(Selection), employee_type(Selection), job_id(Many2one), marital(Selection), name(Char), resource_id(Many2one)
Base Odoo	hr_appraisal_contract	Appraisal Contract	res.company	Companies	hr.appraisal.note ; res.company ; res.partner.bank ; resource.calendar	Appraisal Assessment Note ; Companies ; Bank Accounts ; Resource Working Time	actions: action_all_company_branches	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal_contract	currency_id(Many2one), layout_background(Selection), name(Char), partner_id(Many2one), planning_employee_unavailabilities(Selection), planning_generation_interval(Integer)
Base Odoo	hr_appraisal_skills	Appraisal - Skills	hr.appraisal	Employee Appraisal	hr.appraisal.skill ; mail.activity ; mail.followers ; mail.message ; sht.hr.appraisal.line	Employee Skills ; Activity ; Document Followers ; Message ; Dòng đánh giá chi tiết	state: new, pending, done, cancel | actions: action_apply_template, action_back, action_calendar_event, action_cancel, action_confirm, action_done, action_open_employee_appraisals, action_open_goals, action_send_appraisal_request	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal_skills	company_id(Many2one), date_close(Date), department_id(Many2one), employee_id(Many2one), job_id(Many2one), state(Selection)
Base Odoo	hr_appraisal_skills	Appraisal - Skills	hr.appraisal.skill	Employee Skills	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal_skills	appraisal_id(Many2one), employee_id(Many2one), skill_id(Many2one), skill_level_id(Many2one)
Base Odoo	hr_appraisal_skills	Appraisal - Skills	hr.appraisal.skill.report	Appraisal Skills Report	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal_skills	company_id(Many2one), department_id(Many2one), employee_id(Many2one)
Base Odoo	hr_attendance	Attendances	hr.attendance	Attendance	mail.followers ; mail.message	Document Followers ; Message	actions: action_approve_overtime, action_in_attendance_maps, action_out_attendance_maps, action_refuse_overtime	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	check_in(Datetime), department_id(Many2one), employee_id(Many2one)
Base Odoo	hr_attendance	Attendances	hr.attendance.overtime	Attendance Overtime	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	company_id(Many2one), date(Date), duration(Float), employee_id(Many2one)
Base Odoo	hr_attendance	Attendances	hr.employee	Employee	hr.appraisal ; hr.attendance ; hr.attendance.overtime ; hr.candidate ; hr.contract ; hr.employee ; hr.employee.skill ; hr.payslip ; hr.resume.line ; hr.vn.asset ; hr.vn.decision ; hr.vn.dependent ; hr.vn.si.record ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; sht.hr.employee.document ; sht.hr.health.record ; sht.hr.rd ; sht.hr.training	Employee Appraisal ; Attendance ; Attendance Overtime ; Candidate ; Employee Contract ; Employee ; Skill level for an employee ; Pay Slip ; Resume line of an employee ; Tài sản ; Quyết định nhân sự ; Người phụ thuộc ; Hồ sơ bảo hiểm xã hội ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Employee Document ; Hồ sơ khám sức khoẻ nhân viên ; Reward & Discipline Record ; Employee Training Record	actions: action_open_assets, action_open_contract, action_open_decisions, action_open_discipline_records, action_open_employee_documents, action_open_goals, action_open_health_records, action_open_last_appraisal, action_open_last_month_attendances, action_open_last_month_overtime	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	company_id(Many2one), contract_id(Many2one), department_id(Many2one), distance_home_work_unit(Selection), employee_type(Selection), job_id(Many2one), marital(Selection), name(Char), resource_id(Many2one)
Base Odoo	hr_attendance	Attendances	hr.employee.base	Basic Employee	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	company_id(Many2one), department_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr_attendance	Attendances	hr.employee.public	Public Employee	hr.employee.public ; hr.employee.skill ; hr.resume.line	Public Employee ; Skill level for an employee ; Resume line of an employee	actions: action_send_appraisal_request	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	company_id(Many2one), department_id(Many2one), employee_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr_attendance	Attendances	res.company	Companies	hr.appraisal.note ; res.company ; res.partner.bank ; resource.calendar	Appraisal Assessment Note ; Companies ; Bank Accounts ; Resource Working Time	actions: action_all_company_branches	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	currency_id(Many2one), layout_background(Selection), name(Char), partner_id(Many2one), planning_employee_unavailabilities(Selection), planning_generation_interval(Integer)
Base Odoo	hr_attendance	Attendances	res.config.settings	Config Settings	hr.appraisal.note	Appraisal Assessment Note	actions: open_company, open_mail_templates, regenerate_kiosk_key	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	company_id(Many2one), planning_generation_interval(Integer)
Base Odoo	hr_attendance	Attendances	res.users	User	auth_totp.device ; hr.employee ; hr.employee.skill ; hr.resume.line ; library.borrowing ; library.reservation ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; res.device ; res.partner ; res.partner.bank ; res.users ; res.users.apikeys ; res.users.log ; res.users.settings ; resource.resource	Authentication Device ; Employee ; Skill level for an employee ; Resume line of an employee ; library.borrowing ; library.reservation ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Devices ; Contact ; Bank Accounts ; User ; Users API Keys ; Users Log ; User Settings ; Resources	state: new, active | actions: action_open_employees	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	company_id(Many2one), department_id(Many2one), employee_id(Many2one), login(Char), name(Char), notification_type(Selection), partner_id(Many2one), state(Selection)
Base Odoo	hr_attendance	Attendances	resource.calendar.leaves	Resource Time Off Detail	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance	company_id(Many2one), date_from(Datetime), date_to(Datetime), name(Char)
Base Odoo	hr_attendance_gantt	Attendance Gantt	hr.attendance	Attendance	mail.followers ; mail.message	Document Followers ; Message	actions: action_approve_overtime, action_in_attendance_maps, action_out_attendance_maps, action_refuse_overtime	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_attendance_gantt	check_in(Datetime), department_id(Many2one), employee_id(Many2one)
Base Odoo	hr_calendar	Display Working Hours in Calendar	calendar.event	Calendar Event	calendar.attendee ; mail.activity ; mail.followers ; mail.message	Calendar Attendee Information ; Activity ; Document Followers ; Message	actions: action_join_video_call, action_open_composer, action_send_sms, clear_videocall_location, set_discuss_videocall_location	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_calendar	name(Char), show_as(Selection), start(Datetime), stop(Datetime)
Base Odoo	hr_calendar	Display Working Hours in Calendar	res.partner	Contact	hr.employee ; library.borrowing ; library.reservation ; mail.activity ; mail.followers ; mail.message ; res.partner ; res.partner.bank ; res.users	Employee ; library.borrowing ; library.reservation ; Activity ; Document Followers ; Message ; Contact ; Bank Accounts ; User	actions: action_open_employees, create_company, mail_action_blacklist_remove, phone_action_blacklist_remove	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_calendar	company_id(Many2one), name(Char)
Base Odoo	hr_contract	Employee Contracts	hr.contract	Employee Contract	mail.activity ; mail.followers ; mail.message	Activity ; Document Followers ; Message	state: draft, open, close, cancel | actions: action_open_contract_list, action_open_payslips, action_open_salary_attachments	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	company_id(Many2one), date_generated_from(Datetime), date_generated_to(Datetime), date_start(Date), department_id(Many2one), employee_id(Many2one), job_id(Many2one), name(Char), state(Selection), wage(Monetary), work_entry_source(Selection)
Base Odoo	hr_contract	Employee Contracts	hr.contract.history	Contract history	hr.contract	Employee Contract	state: draft, open, close, cancel | actions: action_open_contract_form, action_open_payslips, action_open_salary_attachments, hr_contract_view_form_new_action	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	company_id(Many2one), contract_id(Many2one), department_id(Many2one), employee_id(Many2one), job_id(Many2one), name(Char), state(Selection), wage(Monetary)
Base Odoo	hr_contract	Employee Contracts	hr.departure.wizard	Departure Wizard	-	-	actions: action_register_departure	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	departure_date(Date), departure_reason_id(Many2one), employee_id(Many2one)
Base Odoo	hr_contract	Employee Contracts	hr.employee	Employee	hr.appraisal ; hr.attendance ; hr.attendance.overtime ; hr.candidate ; hr.contract ; hr.employee ; hr.employee.skill ; hr.payslip ; hr.resume.line ; hr.vn.asset ; hr.vn.decision ; hr.vn.dependent ; hr.vn.si.record ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; sht.hr.employee.document ; sht.hr.health.record ; sht.hr.rd ; sht.hr.training	Employee Appraisal ; Attendance ; Attendance Overtime ; Candidate ; Employee Contract ; Employee ; Skill level for an employee ; Pay Slip ; Resume line of an employee ; Tài sản ; Quyết định nhân sự ; Người phụ thuộc ; Hồ sơ bảo hiểm xã hội ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Employee Document ; Hồ sơ khám sức khoẻ nhân viên ; Reward & Discipline Record ; Employee Training Record	actions: action_open_assets, action_open_contract, action_open_decisions, action_open_discipline_records, action_open_employee_documents, action_open_goals, action_open_health_records, action_open_last_appraisal, action_open_last_month_attendances, action_open_last_month_overtime	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	company_id(Many2one), contract_id(Many2one), department_id(Many2one), distance_home_work_unit(Selection), employee_type(Selection), job_id(Many2one), marital(Selection), name(Char), resource_id(Many2one)
Base Odoo	hr_contract	Employee Contracts	hr.employee.base	Basic Employee	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	company_id(Many2one), department_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr_contract	Employee Contracts	hr.employee.public	Public Employee	hr.employee.public ; hr.employee.skill ; hr.resume.line	Public Employee ; Skill level for an employee ; Resume line of an employee	actions: action_send_appraisal_request	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	company_id(Many2one), department_id(Many2one), employee_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr_contract	Employee Contracts	hr.payroll.structure.type	Salary Structure Type	hr.payroll.structure	Salary Structure	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	default_work_entry_type_id(Many2one), name(Char), wage_type(Selection)
Base Odoo	hr_contract	Employee Contracts	ir.ui.menu	Menu	ir.ui.menu	Menu	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	name(Char)
Base Odoo	hr_contract	Employee Contracts	mail.activity.schedule	Activity schedule plan Wizard	-	-	actions: action_create_calendar_event, action_schedule_activities, action_schedule_activities_done, action_schedule_activities_done_and_schedule, action_schedule_plan	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	company_id(Many2one), department_id(Many2one), res_model(Char), res_model_id(Many2one)
Base Odoo	hr_contract	Employee Contracts	res.company	Companies	hr.appraisal.note ; res.company ; res.partner.bank ; resource.calendar	Appraisal Assessment Note ; Companies ; Bank Accounts ; Resource Working Time	actions: action_all_company_branches	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	currency_id(Many2one), layout_background(Selection), name(Char), partner_id(Many2one), planning_employee_unavailabilities(Selection), planning_generation_interval(Integer)
Base Odoo	hr_contract	Employee Contracts	res.config.settings	Config Settings	hr.appraisal.note	Appraisal Assessment Note	actions: open_company, open_mail_templates, regenerate_kiosk_key	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_contract	company_id(Many2one), planning_generation_interval(Integer)
